id;Code;Speciality;faculty;UkrainianLanguage;Math;HistoryOfUkraine;ForeignLanguage;Biology;Physics;Chemistry;link
45;123;Комп'ютерна інженерія;КОМП'ЮТЕРНИХ НАУК ТА ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ;0.3;-0.5;0.2;0.3;0.2;0.4;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/123-kompiuterna-inzheneriia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
47;124;Системний аналіз;КОМП'ЮТЕРНИХ НАУК ТА ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ;0.3;-0.5;0.2;0.3;0.2;0.4;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/124-systemnyi-analiz/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
48;125;Кібербезпека та захист інформації;КОМП'ЮТЕРНИХ НАУК ТА ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ;0.3;-0.5;0.2;0.3;0.2;0.4;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/125-kiberbezpeka/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
49;126;Інформаційні системи та технології;КОМП'ЮТЕРНИХ НАУК ТА ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ;0.3;-0.5;0.2;0.3;0.2;0.4;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/126-informatsiini-systemy-ta-tekhnologii/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
2;131;Прикладна механіка;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/131-prykladna-mekhanika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
3;132;Матеріалознавство;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.5;0.2;0.25;0.2;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/132-materialoznavstvo/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
4;133;Галузеве машино-будування;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/133-haluzeve-mashynobuduvannia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
9;141;Електроенергетика, електротехніка та електромеханіка;ЕНЕРГЕТИКИ, ЕЛЕКТРОНІКИ ТА ЕЛЕКТРОМЕХАНІКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/141-elektroenerhetyka-elektrotekhnika-ta-elektromekhanika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
10;142;Енергетичне машинобудування;ЕНЕРГЕТИКИ, ЕЛЕКТРОНІКИ ТА ЕЛЕКТРОМЕХАНІКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/142-enerhetychne-mashynobuduvannia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
11;144;Теплоенергетика;ЕНЕРГЕТИКИ, ЕЛЕКТРОНІКИ ТА ЕЛЕКТРОМЕХАНІКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/144-teploenerhetyka/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
5;145;Відновлювані джерела енергії та гідроенергетика;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/145-hidroenerhetyka/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
23;161;Хімічні технології та інженерія;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.25;0.3;0.2;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/161-khimichni-tekhnolohii-ta-inzheneriia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
24;162;Біотехнології та біоінженерія;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.35;-0.35;0.3;0.3;0.5;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/162-biotekhnolohii-ta-bioinzheneriia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
12;171;Електроніка;ЕНЕРГЕТИКИ, ЕЛЕКТРОНІКИ ТА ЕЛЕКТРОМЕХАНІКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/171-elektronika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
19;172;Електрокомунікації та радіотехніка;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/172-telekomunikatsii-ta-radiotekhnika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
20;174;Автоматизація, комп’ютерно-інтегровані технології та робототехніка;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/151-avtomatyzatsiia-ta-kompiuterno-intehrovani-tekhnolohii/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
21;175;Інформаційно-вимірювальні технології;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/152-metrolohiia-ta-informatsiino-vymiriuvalna-tekhnika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
22;176;Мікро- та наносистемна техніка;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.25;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/153-mikro-ta-nanosystemna-tekhnika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
25;181;Харчові технології;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.3;0.2;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/181-kharchovi-tekhnolohii/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
6;183;Технології захисту навколишнього середовища;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.5;0.2;0.25;0.5;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/183-tekhnologii-zakhystu-navkolyshnogo-seredovyshcha/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
26;185;Нафтогазова інженерія та технології;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.25;0.5;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/185-naftohazova-inzheneriia-ta-tekhnolohii/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
50;186;Видавництво та поліграфія;КОМП'ЮТЕРНИХ НАУК ТА ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ;0.3;-0.5;0.2;0.3;0.2;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/186-vydavnytstvo-ta-polihrafiia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
27;226;Фармація, промислова фармація;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.35;-0.4;0.25;0.25;0.5;0.5;0.5;http://vstup.kpi.kharkov.ua/edprogram-cat/226-farmatsiia-promyslova-farmatsiia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
38;241;Готельно-ресторанна справа;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.4;-0.3;0.3;0.5;0.3;0.25;0.3;http://vstup.kpi.kharkov.ua/edprogram-cat/241-hotelno-restoranna-sprava/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
39;242;Туризм і рекреація;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.4;-0.3;0.3;0.5;0.35;0.25;0.25;http://vstup.kpi.kharkov.ua/edprogram-cat/242-turyzm/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
7;263;Цивільна безпека;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.35;-0.4;0.25;0.25;0.35;0.35;0.35;http://vstup.kpi.kharkov.ua/edprogram-cat/263-tsyvilna-bezpeka/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
14;273;Залізничний транспорт;ЕНЕРГЕТИКИ, ЕЛЕКТРОНІКИ ТА ЕЛЕКТРОМЕХАНІКИ;0.3;-0.5;0.2;0.5;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/273-zaliznychnyi-transport/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
8;274;Автомобільний транспорт;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.5;0.2;0.5;0.2;0.5;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/274-avtomobilnyi-transport/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
56;281;Публічне управління та адміністрування;СОЦІАЛЬНО-ГУМАНІТАРНИХ ТЕХНОЛОГІЙ;0.3;-0.4;0.3;0.5;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/281-publichne-upravlinnia-ta-administruvannia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
40;292;Міжнародні економічні відносини;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.3;-0.4;0.3;0.5;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/281-publichne-upravlinnia-ta-administruvannia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
